Date_SPX,SPX_Index,PX_VOLUME_SPX,Date_AXX,AXX_Index,PX_VOLUME_AXX,Date_CLXP,CLXP_Index,PX_VOLUME_CLXP,Date_ITLMS,ITLMS_Index,PX_VOLUME_ITLMS,Date_AS52,AS52_Index,PX_VOLUME_AS52,Date_SHSZ300,SHSZ300_Index,PX_VOLUME_SHSZ300
8/13/2019,2926.32,563420961,8/14/2019,865.29,1564873517,8/14/2019,8394.39,56376561,8/13/2019,22389.49,620836879,8/14/2019,6549.87,892545590,8/15/2019,3694,8859883182
8/14/2019,2840.6,692631694,8/15/2019,858.88,3022556186,8/15/2019,8328.65,57502957,8/14/2019,21854.66,545760483,8/15/2019,6365.58,1018824162,8/16/2019,3710.54,8831916926
8/15/2019,2847.6,585071376,8/16/2019,859.98,2923005782,8/16/2019,8444.59,62787303,8/16/2019,22167.22,636796033,8/16/2019,6362.09,899570463,8/19/2019,3791.09,13932701264
8/16/2019,2888.68,591597576,8/19/2019,864.41,2075230748,8/19/2019,8557.23,48405370,8/19/2019,22592.12,474658257,8/19/2019,6422.48,702798603,8/20/2019,3787.73,10860208818
8/19/2019,2923.65,497584853,8/20/2019,865.7,1777324166,8/20/2019,8520.95,53716600,8/20/2019,22363.25,407146537,8/20/2019,6499.04,837414651,8/21/2019,3781.76,8229987958
8/20/2019,2900.51,451459948,8/21/2019,871.49,1552805175,8/21/2019,8660.29,61293505,8/21/2019,22742.49,401816504,8/21/2019,6440.48,820003481,8/22/2019,3793.51,8580779224
8/21/2019,2924.43,399340157,8/22/2019,869.09,2627008187,8/22/2019,8595.94,56501016,8/22/2019,22708.03,474759848,8/22/2019,6460.38,766499939,8/23/2019,3820.86,8795458261
8/22/2019,2922.95,430434567,8/23/2019,871.42,2424482014,8/23/2019,8530.75,45574596,8/23/2019,22346.69,492275465,8/23/2019,6480.85,889620548,8/26/2019,3765.91,9385926890
8/23/2019,2847.11,700619550,8/27/2019,870.19,1868411951,8/26/2019,8518.65,30434793,8/26/2019,22541.25,388823859,8/26/2019,6399.76,857226541,8/27/2019,3816.95,12473147788
8/26/2019,2878.38,463912564,8/28/2019,869.11,1502582386,8/27/2019,8561.48,41501308,8/27/2019,22863.06,480003463,8/27/2019,6430.57,1038655928,8/28/2019,3802.58,8875081224
8/27/2019,2869.16,558676392,8/29/2019,870.53,1967487722,8/28/2019,8529.87,38586984,8/28/2019,22843.69,502004114,8/28/2019,6461.31,834901208,8/29/2019,3790.19,8408338735
8/28/2019,2887.94,442743559,8/30/2019,871.57,2169190310,8/29/2019,8646.44,41306040,8/29/2019,23265.27,793014106,8/29/2019,6468.09,871136248,8/30/2019,3799.59,9669515006
